experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ablation,Generic_baseline,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.776615,3.191107,,,0.823008,24668160,26.08,15,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.776536,3.216368,,,0.826183,24668160,22.96,13,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.601418,3.128566,,,0.809779,24668160,21.01,12,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.893597,3.270205,,,0.836539,24668160,27.83,16,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.474175,3.111366,,,0.803721,24668160,30.91,17,False,False,ReLU,
ablation,Generic_activeG,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.647905,3.168283,,,0.816198,24668160,27.77,15,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.890487,3.285696,,,0.838393,24668160,26.01,14,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.523223,3.082557,,,0.801597,24668160,30.21,16,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.939931,3.300394,,,0.841755,24668160,30.01,16,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.713346,3.212872,,,0.823810,24668160,26.58,14,True,False,ReLU,
ablation,Generic_sumLosses,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.573809,3.153368,,,0.812054,24668160,25.82,14,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.519905,3.089504,,,0.802370,24668160,42.15,24,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.506065,3.095916,,,0.802753,24668160,23.87,13,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.580900,3.119607,,,0.808024,24668160,29.27,16,False,True,ReLU,
