experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,0,1582824235,13.414654,3.052630,828.122070,3315305.750000,0.794510,8222720,81.29,13,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,1,846816119,13.729659,3.214944,850.552368,3305021.750000,0.824570,8222720,125.66,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,2,1270119362,13.742495,3.222401,852.987671,3331417.500000,0.825901,8222720,100.25,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,3,443314766,13.843532,3.288876,858.310486,3312899.250000,0.837356,8222720,162.84,24,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,4,1484181814,13.567098,3.145348,840.827759,3335703.500000,0.810840,8222720,93.02,14,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,5,259917670,13.383387,3.050759,819.410095,3217727.000000,0.793318,8222720,104.04,16,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,6,1438461068,13.613107,3.162355,837.519775,3219831.250000,0.814387,8222720,118.89,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,7,127143584,13.900550,3.301402,859.344727,3273787.750000,0.840677,8222720,130.22,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,8,83832002,13.363687,3.040618,817.951965,3144631.000000,0.791439,8222720,134.70,21,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,9,671488108,13.541646,3.150099,834.153442,3224445.750000,0.810659,8222720,123.32,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,10,401956132,13.532877,3.113825,826.909119,3173701.000000,0.805827,8222720,126.93,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,11,46999993,13.600471,3.137166,833.214783,3197154.750000,0.810832,8222720,116.33,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,12,272126702,13.602411,3.151683,838.886963,3259283.750000,0.812717,8222720,130.48,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,13,406909400,13.583183,3.155934,837.503845,3228852.500000,0.812664,8222720,134.42,21,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,14,694611721,13.422026,3.073431,824.420288,3225877.000000,0.797353,8222720,91.56,14,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,15,2043864427,13.500577,3.102175,831.250061,3205098.750000,0.803373,8222720,131.77,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,16,255427808,13.523256,3.104062,830.570312,3242474.500000,0.804304,8222720,123.95,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,17,1905810583,13.341599,3.038117,815.959167,3162140.250000,0.790449,8222720,102.73,16,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,18,826445083,13.451667,3.067371,827.433594,3235989.000000,0.797497,8222720,116.99,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,19,1841979372,13.472321,3.080584,829.491760,3311293.750000,0.799792,8222720,92.75,14,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,20,1733933816,13.448611,3.080552,826.841614,3255559.750000,0.799062,8222720,97.14,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,21,2060654653,13.637495,3.192517,843.554993,3253801.250000,0.818928,8222720,116.76,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,22,840854384,13.552266,3.129030,832.175049,3199766.250000,0.808333,8222720,136.60,21,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,23,1734650581,13.420135,3.075466,827.016479,3267632.000000,0.797551,8222720,99.83,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,24,2129086288,13.461336,3.097192,823.505737,3154804.000000,0.801545,8222720,119.18,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,25,127616803,13.701783,3.188108,841.933411,3257515.250000,0.820341,8222720,121.99,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,26,696454884,13.541372,3.127315,830.328186,3186837.000000,0.807784,8222720,118.11,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,27,694200479,13.466208,3.087651,830.699219,3284989.750000,0.800494,8222720,97.53,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,28,1717496923,13.450050,3.071643,825.076782,3211509.500000,0.797985,8222720,111.64,17,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,29,1901903837,13.532021,3.103456,830.496094,3254115.500000,0.804496,8222720,115.28,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,30,468749345,13.684604,3.163544,844.129639,3316261.250000,0.816725,8222720,78.46,12,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,31,1640949168,13.558267,3.131305,842.766479,3381701.000000,0.808803,8222720,93.02,14,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,32,670595907,13.484480,3.081024,824.092896,3192669.250000,0.800219,8222720,123.54,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,33,1529828290,13.379972,3.054176,821.081848,3194277.000000,0.793644,8222720,107.20,16,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,34,1643712583,13.534364,3.125949,832.029419,3173441.500000,0.807398,8222720,141.74,22,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,35,1545707459,13.521502,3.091442,827.282654,3175064.750000,0.802662,8222720,207.17,32,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,36,1166043838,44.948296,8.807246,1873.538574,15298355.000000,2.483347,8222720,84.52,13,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,37,1180165495,13.708481,3.215029,844.248596,3282672.500000,0.823933,8222720,98.89,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,38,422560746,13.564046,3.134595,841.344849,3323771.750000,0.809394,8222720,92.33,14,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,39,1363929088,13.498558,3.091486,831.856812,3235992.000000,0.801966,8222720,129.24,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,40,2063541556,13.828832,3.196992,845.479126,3287306.750000,0.825346,8222720,122.22,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,41,1083509908,13.414770,3.054816,823.580261,3214014.000000,0.794789,8222720,105.76,16,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,42,2023516402,13.376184,3.037912,821.132202,3236079.000000,0.791481,8222720,95.40,15,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,43,2059852680,13.424677,3.071237,822.410522,3181464.500000,0.797158,8222720,123.09,19,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,44,645298173,13.745194,3.201939,852.811401,3342070.000000,0.823409,8222720,148.09,23,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,45,322729068,13.376276,3.055519,817.917664,3168015.500000,0.793700,8222720,116.17,18,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Yearly,1,6,30,10,1,True,46,540416765,13.334219,3.037649,817.595825,3180445.000000,0.790164,8222720,118.46,18,False,False,ReLU
