experiment,config_name,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,active_g,activation,best_val_loss,final_val_loss,final_train_loss,best_epoch,epochs_trained,stopping_reason,loss_ratio,diverged,healthy,n_params,training_time_seconds,val_loss_curve
milk_convergence,Milk10_baseline,6,24,10,1,True,1,835584755,False,ReLU,1.68519711,2.70599103,2.42837024,49,69,EARLY_STOPPED,1.605742,False,True,8161280,9.37,"[""192.40551758"", ""22.26759720"", ""17.11154366"", ""19.01144218"", ""12.38262463"", ""12.14129162"", ""8.10734177"", ""9.41973114"", ""5.99480104"", ""7.22142887"", ""5.38924646"", ""6.42382956"", ""5.01086807"", ""5.26116562"", ""4.46246719"", ""4.62958241"", ""3.60552001"", ""3.79085875"", ""3.67952514"", ""2.93360949"", ""3.59602308"", ""3.36148334"", ""3.39339185"", ""3.19740820"", ""3.17266202"", ""2.36439252"", ""2.89888120"", ""2.58031583"", ""2.81291747"", ""3.00278115"", ""2.60801053"", ""2.49788404"", ""2.99558258"", ""2.26709986"", ""2.74993086"", ""2.37288642"", ""2.34733129"", ""1.97181439"", ""1.93284428"", ""2.69372296"", ""2.89683938"", ""2.46315980"", ""3.69609571"", ""2.99482346"", ""3.24505496"", ""2.86681700"", ""2.14525533"", ""2.20982361"", ""2.26276016"", ""1.68519711"", ""2.43729568"", ""2.00641060"", ""2.63073850"", ""2.04761863"", ""2.61273885"", ""2.15989566"", ""2.29926181"", ""2.26330519"", ""2.18788481"", ""2.24559355"", ""2.31594682"", ""1.96835172"", ""2.03252697"", ""2.90520740"", ""2.33152008"", ""2.08375716"", ""1.77144313"", ""1.87833047"", ""2.76160288"", ""2.70599103""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,3,636986359,False,ReLU,34.76142120,35.64235306,35.63097763,53,73,EARLY_STOPPED,1.025342,False,False,8161280,11.11,"[""195.07707214"", ""68.94735718"", ""50.48020554"", ""48.98345184"", ""44.69026566"", ""42.93758011"", ""40.76535416"", ""39.89383698"", ""40.87953568"", ""38.16828537"", ""39.32020950"", ""37.99028778"", ""37.82498932"", ""37.42404175"", ""37.67657089"", ""37.02977753"", ""37.12394333"", ""36.38416672"", ""36.45106125"", ""36.30009460"", ""36.66604614"", ""36.00534821"", ""36.26996994"", ""35.53917313"", ""35.48406219"", ""35.55637741"", ""36.08200455"", ""35.48649597"", ""35.37086105"", ""35.50624847"", ""35.54141998"", ""35.45348740"", ""35.92500687"", ""35.73726273"", ""35.97018433"", ""35.73759460"", ""36.07505417"", ""36.25661850"", ""35.48975754"", ""35.19110107"", ""35.30326080"", ""35.24915695"", ""35.02288437"", ""35.67507172"", ""35.66143417"", ""35.87286377"", ""36.04758835"", ""35.03292465"", ""35.03038025"", ""35.81478119"", ""36.32038116"", ""35.79205704"", ""35.00169754"", ""34.76142120"", ""34.86825562"", ""34.98682022"", ""34.95706177"", ""35.11236191"", ""35.47443771"", ""35.46949768"", ""35.44431305"", ""35.55058289"", ""35.65073776"", ""35.74456787"", ""35.54752731"", ""35.69404984"", ""35.58322906"", ""35.53252411"", ""35.12464523"", ""35.94153976"", ""35.35487366"", ""35.22854233"", ""35.53823090"", ""35.64235306""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,4,1903045114,False,ReLU,1.76105952,2.34582305,1.54219091,55,75,EARLY_STOPPED,1.332052,False,True,8161280,11.26,"[""193.24568176"", ""66.71632385"", ""33.21781921"", ""36.92209625"", ""21.70976448"", ""22.95179176"", ""14.63131142"", ""10.22588062"", ""11.76974201"", ""6.75988245"", ""10.12849617"", ""8.51503277"", ""6.07274866"", ""6.33567476"", ""6.14524841"", ""4.59430742"", ""5.20472956"", ""4.25457716"", ""3.83955765"", ""3.40006423"", ""3.28350711"", ""3.04269910"", ""2.91487479"", ""3.03615165"", ""2.70050049"", ""2.64974475"", ""3.20242238"", ""2.47043276"", ""2.94762921"", ""2.31799054"", ""2.37170911"", ""2.44327092"", ""2.26104522"", ""3.22796392"", ""2.42359805"", ""2.33328485"", ""2.77556562"", ""2.23080945"", ""2.01270294"", ""2.81289601"", ""2.90395856"", ""3.91664910"", ""2.63886333"", ""3.52590418"", ""2.78760028"", ""3.27130008"", ""2.02484679"", ""2.46361041"", ""2.20248103"", ""2.26074934"", ""2.01354074"", ""2.10836411"", ""2.12235451"", ""1.85255682"", ""2.18025494"", ""1.76105952"", ""2.14152622"", ""2.80535626"", ""2.94522214"", ""2.76441789"", ""2.22994542"", ""2.98661256"", ""2.27245140"", ""2.98647666"", ""2.37262201"", ""2.24587274"", ""2.00176239"", ""2.47587705"", ""2.60848665"", ""2.39764738"", ""2.08808684"", ""1.89629686"", ""2.29288363"", ""2.41571021"", ""2.73570514"", ""2.34582305""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,6,1611553850,False,ReLU,1.77413297,1.84614503,1.61968398,76,96,EARLY_STOPPED,1.040590,False,True,8161280,13.60,"[""193.42692566"", ""76.44669342"", ""24.55379868"", ""28.29582405"", ""13.10891628"", ""17.92309952"", ""9.31740856"", ""9.66131020"", ""8.69397068"", ""7.20353699"", ""5.74957800"", ""6.70921946"", ""4.21824980"", ""5.01013994"", ""4.13074589"", ""3.56723857"", ""3.98262930"", ""3.27675056"", ""3.16281247"", ""3.10350180"", ""2.83078599"", ""2.71375823"", ""2.82380462"", ""2.97425818"", ""2.50962472"", ""3.09119344"", ""2.70138693"", ""2.66742063"", ""2.45294738"", ""2.40825200"", ""2.13689303"", ""2.26456380"", ""2.57099104"", ""2.80180788"", ""2.60557675"", ""2.45402884"", ""2.63794827"", ""2.37927985"", ""2.47005820"", ""2.70343161"", ""3.13882756"", ""2.85208821"", ""2.55048490"", ""2.38944840"", ""2.28503680"", ""2.30255842"", ""2.05662465"", ""2.10895252"", ""2.80545092"", ""3.09485126"", ""2.59293151"", ""2.13274312"", ""2.03340554"", ""1.86133754"", ""1.95925689"", ""2.00035954"", ""2.06582117"", ""2.21438980"", ""1.87924004"", ""1.94122219"", ""2.14195824"", ""2.01761389"", ""2.28792310"", ""1.93783069"", ""1.96624851"", ""2.02843046"", ""2.11362028"", ""2.17892146"", ""2.01953864"", ""2.19771528"", ""1.80188942"", ""1.99046206"", ""2.21680880"", ""1.95277596"", ""2.19412136"", ""2.23625755"", ""1.77413297"", ""2.17223430"", ""2.32432103"", ""2.22051787"", ""2.04428959"", ""2.55926895"", ""2.22816849"", ""2.17600417"", ""2.33295894"", ""2.45225763"", ""2.20593548"", ""1.98625755"", ""1.98925936"", ""2.21371603"", ""2.00398135"", ""2.32542396"", ""2.06537938"", ""2.12060523"", ""2.27577472"", ""2.23128414"", ""1.84614503""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,2,74725578,False,ReLU,34.47174072,34.59494781,34.70835114,86,106,EARLY_STOPPED,1.003574,False,False,8161280,13.60,"[""186.99490356"", ""64.61320496"", ""60.94748306"", ""53.56375122"", ""41.89841843"", ""47.15716553"", ""40.44517136"", ""42.72570801"", ""39.41209793"", ""39.64881134"", ""39.63345718"", ""37.49258041"", ""38.34413528"", ""36.78925323"", ""37.04279327"", ""37.13804245"", ""36.27739334"", ""36.16928482"", ""36.04644394"", ""35.69485092"", ""35.89708328"", ""35.27999496"", ""35.36025238"", ""35.62126923"", ""35.09722519"", ""35.45383835"", ""36.42738342"", ""36.26572418"", ""35.30844879"", ""35.72928619"", ""36.86732864"", ""36.36563873"", ""36.05491257"", ""35.63550568"", ""35.22682190"", ""35.46344757"", ""35.30989838"", ""35.48860168"", ""34.81975937"", ""34.68985748"", ""34.90427399"", ""36.15241623"", ""35.73487473"", ""35.60549164"", ""35.25132370"", ""36.13259888"", ""35.41066742"", ""35.24555588"", ""35.15773392"", ""34.84856415"", ""34.88932800"", ""35.42783737"", ""34.92909622"", ""34.87409210"", ""34.96781158"", ""34.82120895"", ""34.68313980"", ""34.56770325"", ""34.78188324"", ""34.87978745"", ""34.87356186"", ""35.06112671"", ""34.60754776"", ""35.08610916"", ""35.69762421"", ""35.44056702"", ""35.30339432"", ""34.86728668"", ""34.99064636"", ""34.77899551"", ""34.95302963"", ""34.78237534"", ""34.71905899"", ""34.59371185"", ""34.76946259"", ""34.61193466"", ""34.47466660"", ""34.58473969"", ""35.01741409"", ""35.28302002"", ""34.96376038"", ""35.60089111"", ""35.52860641"", ""35.31536865"", ""34.87741852"", ""35.02222443"", ""34.47174072"", ""34.57694244"", ""34.93345261"", ""34.69714355"", ""35.21323013"", ""34.82263565"", ""35.46821976"", ""35.25568390"", ""35.86320114"", ""35.21877670"", ""35.90982437"", ""35.24991226"", ""35.22952652"", ""35.29397964"", ""35.09471512"", ""34.75212479"", ""34.91909790"", ""34.90378189"", ""34.72995758"", ""34.64585876"", ""34.59494781""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,5,1605979210,False,ReLU,1.61317086,1.81044900,1.91653728,85,105,EARLY_STOPPED,1.122292,False,True,8161280,14.12,"[""192.55825806"", ""75.32963562"", ""50.11193085"", ""21.65453720"", ""21.07891273"", ""22.51445580"", ""11.32595348"", ""8.92104530"", ""11.09426880"", ""6.87946987"", ""6.35891390"", ""6.80323076"", ""4.56424046"", ""4.97094727"", ""3.67621851"", ""4.25514936"", ""3.24934077"", ""3.21720433"", ""2.97992349"", ""3.05313087"", ""2.94478631"", ""2.71217608"", ""2.40797830"", ""3.08577609"", ""2.73565054"", ""3.16491532"", ""3.57496095"", ""3.88222456"", ""3.34700608"", ""3.64559221"", ""2.92278981"", ""2.73889518"", ""2.07797503"", ""2.24928570"", ""2.36423278"", ""2.45260215"", ""2.58127332"", ""2.07322311"", ""1.98867917"", ""2.91862440"", ""3.03895688"", ""2.62219310"", ""2.41100049"", ""2.42388940"", ""2.07505798"", ""2.07289982"", ""2.15440536"", ""2.02156258"", ""2.32939100"", ""2.35250688"", ""2.26731777"", ""2.71274161"", ""2.27314973"", ""2.38363147"", ""2.36527586"", ""2.24692392"", ""1.85721517"", ""2.24032187"", ""2.30080175"", ""2.47529531"", ""2.27048373"", ""2.21065831"", ""1.99477518"", ""2.17070270"", ""2.14510131"", ""2.60412741"", ""2.11265898"", ""1.81297100"", ""2.02515626"", ""2.74285245"", ""2.77341652"", ""2.08021951"", ""2.01561666"", ""1.93866944"", ""2.21271849"", ""2.13037086"", ""2.06477523"", ""2.19846725"", ""1.93098426"", ""1.99140942"", ""1.92021811"", ""2.13186240"", ""1.89617288"", ""1.84608424"", ""1.77517951"", ""1.61317086"", ""1.68438423"", ""1.77653158"", ""1.81240642"", ""1.92620754"", ""2.09403777"", ""1.88488328"", ""2.88197875"", ""2.36624980"", ""2.15837216"", ""2.27318621"", ""1.96828973"", ""2.10068536"", ""1.90731180"", ""1.91056955"", ""1.90722013"", ""2.34288955"", ""2.36102629"", ""2.17872143"", ""1.87337816"", ""1.81044900""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,0,190713329,False,ReLU,1.76016939,1.91953874,1.28625417,87,107,EARLY_STOPPED,1.090542,False,True,8161280,15.95,"[""188.54568481"", ""78.27773285"", ""78.62122345"", ""75.60319519"", ""72.55321503"", ""72.69656372"", ""72.06103516"", ""71.85626221"", ""71.62650299"", ""70.32054138"", ""70.50522614"", ""70.26196289"", ""70.11609650"", ""71.66038513"", ""55.18484879"", ""38.31000519"", ""43.78237534"", ""45.19398117"", ""44.47283173"", ""41.95391846"", ""37.50461197"", ""39.87301254"", ""39.40980911"", ""36.36235809"", ""37.71070099"", ""36.77393341"", ""36.41474533"", ""36.92615509"", ""35.71216583"", ""36.12398529"", ""35.44895172"", ""36.01204300"", ""35.28099060"", ""35.48332596"", ""35.34873962"", ""35.25091553"", ""35.10355377"", ""35.21430969"", ""35.12298584"", ""37.06344986"", ""37.96328735"", ""38.58474350"", ""35.88112259"", ""37.46959686"", ""37.31450272"", ""35.80704498"", ""28.06907272"", ""10.52982044"", ""6.77911806"", ""11.12291431"", ""11.59382725"", ""11.72001839"", ""10.84132385"", ""8.77486610"", ""5.37166834"", ""5.39498997"", ""5.18824720"", ""3.14580727"", ""3.92855954"", ""3.07978606"", ""2.85422921"", ""2.31247854"", ""2.82769084"", ""2.62912059"", ""3.04182696"", ""2.31600189"", ""2.41970253"", ""2.18615055"", ""2.33746648"", ""1.99930513"", ""2.09191155"", ""2.04529977"", ""2.03679419"", ""2.21841002"", ""1.89682186"", ""1.91505659"", ""2.01549792"", ""1.79348850"", ""1.88147926"", ""2.14724493"", ""1.90056193"", ""1.86225379"", ""2.20448756"", ""1.78974545"", ""1.99412799"", ""2.10040760"", ""1.95957482"", ""1.76016939"", ""1.90951657"", ""1.98414922"", ""2.15040159"", ""1.90477574"", ""2.27580714"", ""2.27316737"", ""1.93911564"", ""2.02416730"", ""2.01113510"", ""2.08077383"", ""2.15103841"", ""1.92462349"", ""2.26889825"", ""2.23306942"", ""2.46711278"", ""1.94793975"", ""1.96711922"", ""1.82507539"", ""2.02033782"", ""1.91953874""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,7,810401152,False,ReLU,1.26878047,1.62099373,1.17840338,107,127,EARLY_STOPPED,1.277600,False,True,8161280,18.35,"[""194.56217957"", ""109.11627960"", ""104.32348633"", ""64.65507507"", ""62.44448853"", ""52.62410355"", ""52.05260086"", ""46.85003281"", ""42.36152267"", ""43.10721970"", ""41.57031631"", ""38.84579086"", ""40.20423126"", ""39.18173599"", ""37.83851242"", ""37.82226181"", ""37.01568985"", ""36.51757431"", ""36.65467072"", ""36.07674026"", ""35.95635986"", ""35.58200455"", ""36.03260422"", ""35.66927338"", ""35.74854279"", ""35.58066940"", ""35.54192352"", ""35.28315735"", ""35.19593048"", ""35.11690521"", ""35.35107040"", ""34.91712952"", ""35.16850281"", ""35.74000168"", ""34.92694473"", ""35.74850845"", ""34.88959503"", ""35.00952530"", ""35.22116852"", ""35.11708069"", ""35.29246902"", ""35.12685776"", ""35.24750137"", ""35.51898956"", ""35.59426117"", ""35.39197922"", ""35.04470444"", ""34.91435623"", ""27.04909706"", ""8.54706287"", ""5.59402180"", ""9.42598915"", ""10.27841377"", ""9.73971272"", ""8.02654743"", ""5.06697893"", ""4.71887445"", ""5.03459215"", ""2.38640761"", ""3.56408882"", ""3.51224637"", ""2.52389526"", ""2.87576413"", ""1.99615419"", ""2.62619519"", ""2.38965535"", ""2.12365818"", ""2.09639835"", ""2.11553931"", ""1.89948356"", ""1.83305347"", ""2.03401589"", ""1.67146266"", ""1.70279980"", ""1.49867690"", ""2.12207079"", ""1.65339375"", ""1.71612096"", ""1.63347113"", ""1.75498760"", ""1.58962882"", ""2.17213869"", ""1.98673749"", ""1.92226005"", ""1.64918792"", ""1.78876853"", ""1.71367431"", ""1.83040988"", ""1.62487531"", ""1.57063830"", ""1.42125678"", ""1.62034237"", ""2.43287683"", ""2.78244925"", ""2.90648723"", ""2.10073972"", ""2.28667188"", ""1.78246856"", ""1.71668923"", ""1.51128983"", ""1.73018086"", ""1.82151294"", ""1.57415175"", ""1.70469248"", ""1.50637853"", ""1.57584941"", ""1.43948066"", ""1.26878047"", ""2.00377083"", ""1.71702039"", ""1.40388954"", ""1.49161851"", ""1.61429143"", ""1.62622666"", ""1.35754073"", ""1.41045642"", ""1.65628755"", ""2.07916951"", ""2.06434464"", ""1.89686978"", ""1.64580178"", ""2.13545346"", ""1.72839260"", ""1.53718245"", ""1.55137432"", ""1.76758361"", ""1.80790019"", ""1.62099373""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,10,1857219499,False,ReLU,1.51561725,2.32966447,1.36875224,69,89,EARLY_STOPPED,1.537106,False,True,8161280,12.38,"[""196.76461792"", ""64.60782623"", ""26.85623741"", ""31.45221901"", ""17.46216774"", ""17.49866295"", ""10.02840519"", ""10.40611076"", ""9.22554302"", ""6.34746122"", ""6.74149084"", ""6.01422501"", ""5.83248663"", ""6.49190283"", ""4.98704290"", ""5.93437481"", ""3.98526120"", ""4.66180134"", ""3.56131244"", ""3.52786851"", ""2.95292449"", ""3.73203921"", ""2.91888165"", ""3.30340719"", ""3.16489387"", ""3.05435538"", ""2.63227606"", ""2.66131258"", ""2.44362831"", ""3.21383882"", ""2.42625594"", ""2.57639933"", ""2.86365199"", ""2.80416512"", ""2.32200956"", ""3.07441068"", ""2.61652184"", ""3.21618009"", ""2.77918243"", ""2.92124438"", ""4.10493708"", ""3.50282907"", ""3.01136470"", ""2.73713255"", ""2.41840243"", ""2.52165341"", ""2.44555020"", ""2.20735741"", ""2.57502198"", ""2.59440804"", ""2.30173922"", ""2.67284250"", ""2.39475083"", ""1.95806420"", ""2.56642985"", ""1.94919217"", ""2.18987751"", ""2.49274492"", ""2.15366936"", ""2.15435457"", ""2.21618700"", ""1.78877175"", ""1.87991524"", ""1.82449472"", ""1.81659853"", ""1.74125659"", ""2.23239589"", ""2.12516713"", ""1.87253988"", ""1.51561725"", ""1.95248091"", ""1.93300378"", ""2.24784017"", ""1.99264455"", ""1.84680486"", ""1.94846725"", ""2.03738260"", ""3.11085629"", ""2.34086061"", ""2.32919908"", ""2.16536903"", ""2.60538721"", ""2.07522416"", ""2.12862873"", ""1.59420872"", ""1.75988936"", ""1.84258461"", ""1.84701812"", ""2.48522806"", ""2.32966447""]"
milk_convergence,Milk10_baseline,6,24,10,1,True,9,1618805109,False,ReLU,67.80718231,67.94718170,67.73884583,81,101,EARLY_STOPPED,1.002065,False,False,8161280,12.92,"[""192.55152893"", ""102.41728210"", ""92.80843353"", ""77.86091614"", ""74.73722839"", ""73.49549866"", ""72.95056152"", ""71.22622681"", ""71.39325714"", ""71.41287994"", ""70.61242676"", ""70.03760529"", ""69.43434143"", ""70.28285980"", ""69.37139893"", ""68.94848633"", ""69.87110138"", ""69.84600067"", ""68.82942200"", ""69.19595337"", ""69.20059204"", ""68.96535492"", ""68.93895721"", ""68.58508301"", ""68.38185120"", ""68.47903442"", ""68.83943939"", ""69.43243408"", ""69.54697418"", ""68.56429291"", ""69.41452026"", ""69.43794250"", ""68.57582092"", ""68.98976898"", ""68.77150726"", ""68.57565308"", ""68.21134949"", ""68.35002136"", ""68.82235718"", ""68.67691040"", ""68.81020355"", ""69.37979126"", ""69.99301147"", ""69.10317230"", ""69.32395935"", ""68.30995941"", ""68.94369507"", ""68.33862305"", ""68.45302582"", ""68.92420959"", ""68.43128204"", ""68.42743683"", ""68.43242645"", ""68.13942719"", ""68.17654419"", ""68.23363495"", ""68.10766602"", ""67.87341309"", ""68.03351593"", ""67.98873901"", ""67.99170685"", ""68.07000732"", ""67.92170715"", ""68.11821747"", ""68.32617188"", ""68.08441925"", ""68.36241913"", ""67.91944122"", ""67.97208405"", ""68.00445557"", ""67.97434998"", ""68.45385742"", ""68.01031494"", ""68.16831207"", ""67.86042786"", ""68.22192383"", ""68.18374634"", ""68.00497437"", ""68.14250946"", ""67.91740417"", ""67.95999146"", ""67.80718231"", ""67.89138794"", ""67.88257599"", ""67.89468384"", ""67.81276703"", ""67.84475708"", ""67.91313934"", ""67.96736908"", ""67.95222473"", ""68.41025543"", ""68.43295288"", ""68.16602325"", ""68.14555359"", ""68.40631866"", ""68.16545105"", ""68.11831665"", ""68.06715393"", ""67.99815369"", ""68.14791870"", ""67.83105469"", ""67.94718170""]"
