experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,0,2047897946,64.197906,1.137569,11.942057,1347.580811,nan,10342400,1167.64,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,0,2048244318,66.778198,1.081921,16.722048,2989.093506,nan,10342400,1326.15,13,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,0,614153295,64.391136,0.993491,12.533105,1305.781250,nan,10342400,1408.63,13,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,1,543250938,62.922710,1.115296,13.475662,1679.991455,nan,10342400,1160.49,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,1,1354436401,67.125870,1.798440,21.437098,3103.508545,nan,10342400,1244.78,12,False,True,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,0,74797379,65.612144,0.985934,14.413539,1599.549683,nan,10342400,2767.11,27,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,1,372418528,65.505234,1.163558,14.685795,1469.547974,nan,10342400,1437.72,13,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,2,346992475,66.759598,1.444043,15.237040,1864.767334,nan,10342400,1115.19,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,2,964367931,67.168373,1.507445,18.790396,2408.125977,nan,10342400,1246.48,12,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,2,50607308,65.342003,1.136393,18.331301,2719.804688,nan,10342400,1156.36,11,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,1,1283262872,64.799217,1.226732,13.803773,1604.276855,nan,10342400,1566.51,15,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,3,421676424,66.463867,1.106040,13.373167,1768.142212,nan,10342400,1119.29,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,3,1094707103,64.615181,1.006027,14.056382,1577.800293,nan,10342400,1279.36,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,4,1039842071,63.209133,1.199690,16.943930,2312.901367,nan,10342400,1155.39,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,3,822163754,65.973976,1.510963,18.017118,2253.884521,nan,10342400,2106.43,20,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,4,2103136176,65.524193,1.093631,20.294680,2775.310303,nan,10342400,1200.77,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,5,587299546,64.962334,1.169318,14.609259,1801.916260,nan,10342400,1162.45,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,4,1853867620,66.627907,1.084887,16.394293,2570.278076,nan,10342400,1165.27,11,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,5,1479572429,65.256866,1.126469,15.181895,1279.750854,nan,10342400,1374.21,13,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,2,792167882,64.807144,1.704626,15.609982,1699.218506,nan,10342400,3746.73,37,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,6,1352709014,63.741493,1.119293,12.607885,1415.490601,nan,10342400,1201.82,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,5,1149166917,67.726425,1.564795,18.528067,2422.847900,nan,10342400,1717.89,16,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,6,219804254,65.959457,0.995842,14.640935,1985.292236,nan,10342400,1458.81,14,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,7,947001180,64.661484,1.099487,11.677112,1027.135254,nan,10342400,1389.59,13,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,6,1979686821,67.090721,1.204866,16.234665,2254.576416,nan,10342400,1484.54,14,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,7,551939405,66.051064,1.179273,16.102833,2097.878418,nan,10342400,1228.05,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,8,2050574384,62.255383,0.986904,13.211713,1399.021362,nan,10342400,1391.13,13,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,3,1045019008,57.311249,1.471867,17.101917,2494.556396,nan,10342400,3156.20,31,True,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,7,371050282,67.316238,1.479683,16.071795,2345.488037,nan,10342400,1235.58,12,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,8,1315079459,65.015587,1.292015,27.007055,6121.242676,nan,10342400,1337.59,13,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,9,502235220,63.223774,1.136799,12.203589,1079.680786,nan,10342400,1413.09,13,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,8,207407459,66.736565,1.536716,20.282539,3113.278809,nan,10342400,1261.23,12,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,9,135366496,66.091576,1.182610,18.385168,2299.554199,nan,10342400,1236.25,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,10,848243987,60.774464,0.980359,10.875201,1089.075073,nan,10342400,1379.92,13,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,4,1725571252,61.951099,1.155313,14.716990,1739.251953,nan,10342400,2645.55,26,True,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,9,600476722,66.907974,1.948751,19.765881,2830.743408,nan,10342400,1689.86,16,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,10,1883291162,66.103676,1.307987,29.427080,8288.967773,nan,10342400,1690.51,16,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,11,1431431858,65.984901,1.123055,14.908202,2096.467285,nan,10342400,1200.56,11,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,5,1081992996,60.748356,1.131122,20.293997,3164.020996,nan,10342400,1927.00,19,True,True,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,10,1430984521,67.007462,1.401736,16.772223,2796.047607,nan,10342400,1480.86,14,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,12,69881677,65.276810,1.117636,12.955207,1606.083618,nan,10342400,1200.71,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,11,545906297,65.247765,1.218391,20.438782,2968.100830,nan,10342400,1251.21,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,11,425220507,66.813919,1.251226,16.448551,2654.712402,nan,10342400,1251.29,12,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,12,316245875,66.389221,1.237374,15.963245,2301.907959,nan,10342400,1153.95,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,13,1278700997,66.355949,1.554022,15.599235,1845.252686,nan,10342400,1204.81,11,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,6,584442676,64.083977,1.225643,11.756211,1324.643433,nan,10342400,2391.92,22,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,14,1481381928,63.077526,1.030749,11.461913,1228.597656,nan,10342400,1281.88,12,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,12,1886976986,66.343323,1.301668,16.375507,2169.937988,nan,10342400,1397.84,13,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,13,1559430315,66.078278,1.197891,20.503044,3176.974365,nan,10342400,1804.04,17,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,15,433033634,64.959465,1.290230,15.409564,1835.468872,nan,10342400,1160.69,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,13,1181554083,68.043900,1.582815,16.459423,2380.329346,nan,10342400,1357.55,13,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,14,714671299,65.173668,0.976325,14.089469,1809.830322,nan,10342400,1357.65,13,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,7,2074455248,63.829624,1.182010,13.580993,1448.496826,nan,10342400,2531.84,23,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,16,1806196255,63.100468,1.117559,10.773586,1141.977417,nan,10342400,1398.68,13,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,14,640725364,66.300789,1.170098,16.505962,2635.260742,nan,10342400,1176.30,11,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,15,900355267,64.699768,1.069050,15.572189,2111.872314,nan,10342400,1265.63,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,15,1472803480,68.942955,2.744772,30.038330,6354.588379,nan,10342400,1145.12,11,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,17,1580449467,64.692886,1.164556,12.361086,1202.572754,nan,10342400,1281.91,12,True,False,ReLU
